"","Date","Engagement","freqPost"
"345",2020-12-12,11987572,9801
"346",2020-12-13,12919433,8274
"347",2020-12-14,11752793,10122
"348",2020-12-15,11419312,11051
"349",2020-12-16,12272805,10875
"350",2020-12-17,12267976,11271
"351",2020-12-18,11908496,11857
"352",2020-12-19,12713481,9697
"353",2020-12-20,12729022,8173
"354",2020-12-21,13522167,10488
"355",2020-12-22,12296029,11051
"356",2020-12-23,13978766,11068
"357",2020-12-24,13525282,11142
"358",2020-12-25,15377556,10885
"359",2020-12-26,10959692,8466
"360",2020-12-27,10654471,7323
"361",2020-12-28,12123802,9301
"362",2020-12-29,11203814,9805
"363",2020-12-30,12024929,9157
